                              | phys frel  mag | phys  frel  mag    re    ar      pa    n     | phys  frel  mag    hr    ar      pa   mu0    | phys  frel  mu0   rout   ar     pa    | phys frel mu0    rs    hs      pa   | phys  frel  mag   re     ar    pa  n         | phys  frel  mag    hr    ar     pa    mu0    | phys  frel  mu0   rout   ar     pa    | phys frel mu0    rs    hs     pa   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
50    ESO249-035  z       1 4 |    -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  1.000 22.488   11.2  3.084   97.9 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
51    ESO249-036  -       0 1 |    -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
52    ESO285-048  dbarf   2 5 |    -      -    |      -      -      -      -      -      -    |D    0.972 13.056   20.5  0.425   81.8 21.611 |BAR  0.028 19.665   13.5  0.067   99.6 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
53    ESO286-044  b       1 5 |    -      -    |B    1.000 12.578   28.3  0.589  123.1 18.166 |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
54    ESO287-009  bz      2 4 |    -      -    |B    0.686 14.003   22.4  0.195  105.1  1.587 |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.314 20.421   13.1  2.034  104.3 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
55    ESO287-037  dbar    2 5 |    -      -    |      -      -      -      -      -      -    |D    0.933 13.331   18.7  0.897   49.6 21.685 |BAR  0.067 22.205   27.8  0.313  170.9 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
56    ESO287-043  zz      2 4 |    -      -    |D    0.514 14.689   33.2  0.252  109.9  0.442 |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.486 20.427   11.2  2.662  108.9 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
57    ESO288-013  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 14.014   14.7  0.935   67.0 21.848 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
58    ESO289-010  zz      2 4 |    -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.647 21.665   21.3  5.196  122.5 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.354 20.500   13.8  1.490  122.8 
59    ESO289-026  d       1 3 |    -      -    |      -      -      -      -      -      -    |D    1.000 14.263   18.4  0.500  153.2 22.581 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
60    ESO289-048  dbar    2 5 |    -      -    |      -      -      -      -      -      -    |D    0.940 14.424   15.6  0.308  141.4 22.383 |BAR  0.060 21.891   11.6  0.441  164.2 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
61    ESO291-024  dbarf   2 5 |    -      -    |      -      -      -      -      -      -    |D    0.943 14.538   16.4  0.266   90.9 22.605 |BAR  0.057 21.962   11.2  0.423   70.8 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
62    ESO292-014  zz      2 4 |    -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.545 21.059   25.0  6.056   83.9 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.455 19.313   15.1  1.665   84.7 
63    ESO293-034  zn      2 4 |N  0.058 14.968 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |Z  0.942 18.831   16.5  5.498   10.8 |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
64    ESO293-045  dbar    2 5 |    -      -    |      -      -      -      -      -      -    |D    0.744 15.755   13.6  0.333  142.1 23.414 |BAR  0.256 22.938   39.2  0.160  129.5 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
65    ESO298-015  dbar    2 5 |    -      -    |      -      -      -      -      -      -    |D    0.969 14.000   20.1  0.412   57.1 22.513 |BAR  0.031 22.987   22.7  0.231   34.9 |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
66    ESO298-023  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 14.902    9.3  0.922  166.9 21.741 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
67    ESO300-014  d       1 5 |    -      -    |      -      -      -      -      -      -    |D    1.000 12.752   50.7  0.435  165.9 23.274 |      -      -      -      -      -    |    -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -      -    |      -      -      -      -      -    |    -      -      -      -      -    
