objname,ra2000,de2000,t,type,logd25,d25,bt,incl,ned_v_helio,ned_v_corr,ned_dist_z_corr,ned_dist_0,hyperleda_v_helio,hyperleda_dist_z_helio,hyperleda_dist_0,dist_best
UGC03960,115.0947,23.27501,-4.8,E,1.1,1.2589254809065389,14.65,72.2,2255.0,2454.0,33.5062807209,,2256,30.802839978154005,,33.5062807209
ESO493-016,117.18255,-26.24659,4.0,Sbc,1.0,1.0,16.91,83.1,2650.0,2745.0,37.4795193883,23.97,2647,36.141452758055685,,23.97
NGC2480,119.2935,23.77976,8.0,SBd,1.12,1.3182567530303144,14.98,90.0,2345.0,2567.0,35.0491534681,,2342,31.977061714909865,,35.0491534681
NGC2481,119.30715,23.76767,0.2,S0-a,1.13,1.348962867780606,13.63,77.5,2157.0,2380.0,32.4959038777,,2182,29.79246313489895,,32.4959038777
ESO209-009,119.56439999999999,-49.85424,6.2,SBc,1.81,6.456541439665037,12.15,90.0,1119.0,975.0,13.3123975969,14.51,1119,15.278536318951392,12.589251353447187,12.5892513534
IC2233,123.4953,45.74251,6.5,SBc,1.46,2.8840317564502844,12.45,90.0,540.0,733.0,10.0081922447,13.44,585,7.987438558164934,13.99587027528499,13.9958702753
NGC2549,124.74315,57.80308,-2.0,S0,1.56,3.6307800693276415,12.11,90.0,1051.0,1371.0,18.7192790825,16.78,1076,14.691425450573451,12.531413180346647,12.5314131803
UGC04305,124.76820000000001,70.72167,9.9,I,1.9,7.943281911173255,11.16,51.4,142.0,365.0,4.98361551065,3.28,158,2.1572910977607864,3.467368199963294,3.46736819996
NGC2577,125.68110000000001,22.55303,-3.0,E-S0,1.19,1.5488168229767911,13.43,76.8,2062.0,2317.0,31.6357181868,36.9,2112,28.83670125614417,,36.9
NGC2592,126.78359999999999,25.97033,-4.8,E,1.17,1.4791082420082973,13.61,51.2,1979.0,2247.0,30.679956308,40.95,2046,27.93555434188967,25.46828261610972,25.4682826161
ESO495-021,129.0633,-26.40933,-2.6,E-S0,1.3,1.9952620958974432,12.46,54.4,873.0,757.0,10.3358820317,9.36,859,11.728563626433642,8.241379050833872,8.24137905083
UGC04483,129.26415,69.77639,9.8,I,1.05,1.1220183311090417,15.08,67.4,156.0,375.0,5.1201529219,3.43,157,2.143637356635718,3.515604436162873,3.51560443616
UGC04551,131.02455,49.79396,-1.9,S0,1.23,1.698243727045763,13.39,90.0,1728.0,2055.0,28.058438012,,1722,23.51174221736755,,28.058438012
UGC04549,131.08935,58.84196,7.9,Sd,1.1,1.2589254809065389,14.12,37.9,1289.0,1632.0,22.2829055161,,1291,17.62697979246313,,22.2829055161
NGC2679,132.88725,30.86535,-1.9,S0,1.27,1.8620870548831208,13.99,0.0,2027.0,2337.0,31.9087930093,30.5,2035,27.78536318951392,,30.5
NGC2685,133.89465,58.7341,-1.0,S0-a,1.64,4.36515817861883,12.16,68.7,883.0,1216.0,16.6029492081,13.27,877,11.974330966684866,,13.27
NGC2655,133.9101,78.22342,0.1,S0-a,1.59,3.8904517489515147,10.98,66.2,1400.0,1753.0,23.9350081922,24.4,1385,18.910431458219545,9.418895468833862,9.41889546883
UGC04684,134.1696,0.37501,7.3,Scd,1.11,1.288249594126457,14.73,41.9,2522.0,2767.0,37.7799016931,,2519,34.39377389404696,,37.7799016931
NGC2764,137.0727,21.44324,-1.8,S0,1.06,1.14815347022194,13.65,66.3,2706.0,3023.0,41.2752594211,37.4,2719,37.12452211906061,,37.4
NGC2768,137.9061,60.03725,-4.5,E,1.75,5.623413251903491,10.82,90.0,1353.0,1717.0,23.4434735117,19.46,1398,19.08793009284543,22.18194977992503,22.1819497799
