# ABS is the dust attenuation cross-section, with R_V=A(V)/E(B-V)=3.1
# This is the attenuation law described in the paper
# To Apply multiply the galaxy spectrum by exp(-Dust_column*ABS)
# The Dust Column is an integrated depth that gives a certain A(V) :
# where A(V)=-2.5*log10(exp(-dust_col*abs[V_band]))
# as an example, the dust_col for 5 A(V)s has been included
#  
# A(V)        0.0      0.5      1.0      2.0      4.0     10.0
# dust_col   0.00000  2.02923  4.05845  8.11690 16.23380 40.58450
# 
# Notes added by Sébastien Viaene, Dec 27, 2015:
# In practice, compute the Av attenuation using equation 4 of Kreckel et al. 2013
# This assumes a screen geometry, which is not completely unrealistic for star forming regions.
# Av,screen = 0.67* Dust_column / 1e5 Msun/kpc2 with Dust_column in Msun/kpc2
#
# Then, to compute the attenuation at any other wavelength:
# A_lambda = Abs_lambda / Abs_V * Av
 
# wavel. (um)   Abs()
 1.00131E+00  9.39680E-02
 9.97335E-01  9.44414E-02
 9.92045E-01  9.49546E-02
 9.87497E-01  9.56387E-02
 9.84014E-01  9.62357E-02
 9.80426E-01  9.66990E-02
 9.76204E-01  9.71808E-02
 9.70712E-01  9.77558E-02
 9.65267E-01  9.85154E-02
 9.59905E-01  9.92813E-02
 9.54595E-01  1.00048E-01
 9.50829E-01  1.00820E-01
 9.47088E-01  1.01376E-01
 9.43506E-01  1.01934E-01
 9.39947E-01  1.02469E-01
 9.37205E-01  1.02984E-01
 9.34471E-01  1.03384E-01
 9.28655E-01  1.03785E-01
 9.22900E-01  1.04650E-01
 9.17603E-01  1.05524E-01
 9.12360E-01  1.06340E-01
 9.09649E-01  1.07163E-01
 9.07024E-01  1.07594E-01
 9.03274E-01  1.08014E-01
 8.98805E-01  1.08621E-01
 8.93641E-01  1.09354E-01
 8.89404E-01  1.10215E-01
 8.86219E-01  1.10922E-01
 8.82994E-01  1.11448E-01
 8.79081E-01  1.11986E-01
 8.75443E-01  1.12649E-01
 8.72938E-01  1.13275E-01
 8.70422E-01  1.13710E-01
 8.68645E-01  1.14152E-01
 8.66499E-01  1.14468E-01
 8.64092E-01  1.14852E-01
 8.61636E-01  1.15286E-01
 8.58132E-01  1.15733E-01
 8.54846E-01  1.16381E-01
 8.52574E-01  1.16999E-01
 8.50530E-01  1.17429E-01
 8.47727E-01  1.17821E-01
 8.45711E-01  1.18367E-01
 8.43356E-01  1.18763E-01
 8.37870E-01  1.19229E-01
 8.30456E-01  1.20299E-01
 8.26069E-01  1.21764E-01
 8.23671E-01  1.22656E-01
 8.21292E-01  1.23149E-01
 8.20395E-01  1.23646E-01
 8.19956E-01  1.23836E-01
 8.19598E-01  1.23930E-01
 8.16669E-01  1.24006E-01
 8.11070E-01  1.24633E-01
 8.06961E-01  1.25858E-01
 8.04296E-01  1.26779E-01
 8.02253E-01  1.27385E-01
 7.99947E-01  1.27856E-01
 7.96302E-01  1.28395E-01
 7.92687E-01  1.29255E-01
 7.90827E-01  1.30114E-01
 7.89357E-01  1.30556E-01
 7.87032E-01  1.30907E-01
 7.85386E-01  1.31464E-01
 7.83520E-01  1.31862E-01
 7.80620E-01  1.32320E-01
 7.77855E-01  1.33040E-01
 7.75413E-01  1.33731E-01
 7.73017E-01  1.34351E-01
 7.70953E-01  1.34968E-01
 7.68821E-01  1.35504E-01
 7.66347E-01  1.36061E-01
 7.63708E-01  1.36715E-01
 7.61506E-01  1.37422E-01
 7.59272E-01  1.38016E-01
 7.57250E-01  1.38623E-01
 7.55412E-01  1.39179E-01
 7.52887E-01  1.39689E-01
 7.49707E-01  1.40396E-01
 7.45891E-01  1.41287E-01
 7.41604E-01  1.42324E-01
 7.36861E-01  1.43503E-01
 7.33205E-01  1.44830E-01
 7.30908E-01  1.45871E-01
 7.28770E-01  1.46533E-01
 7.26316E-01  1.47155E-01
 7.23702E-01  1.47874E-01
 7.20730E-01  1.48648E-01
 7.17742E-01  1.49539E-01
 7.15656E-01  1.50445E-01
 7.13580E-01  1.51084E-01
 7.11249E-01  1.51728E-01
 7.08972E-01  1.52458E-01
 7.06475E-01  1.53175E-01
 7.03533E-01  1.53961E-01
 7.00569E-01  1.54890E-01
 6.96416E-01  1.55837E-01
 6.92309E-01  1.57190E-01
 6.90691E-01  1.58556E-01
 6.89079E-01  1.59103E-01
 6.84402E-01  1.59655E-01
 6.77610E-01  1.61285E-01
 6.73310E-01  1.63730E-01
 6.71408E-01  1.65331E-01
 6.69971E-01  1.66054E-01
 6.68312E-01  1.66603E-01
 6.65367E-01  1.67244E-01
 6.62440E-01  1.68357E-01
 6.60262E-01  1.69478E-01
 6.58276E-01  1.70326E-01
 6.56428E-01  1.71115E-01
 6.54657E-01  1.71857E-01
 6.52683E-01  1.72572E-01
 6.49845E-01  1.73383E-01
 6.46364E-01  1.74579E-01
