name,Planck_350,Planck_350_err,Planck_350_flag,Planck_550,Planck_550_err,Planck_550_flag,Planck_850,Planck_850_err,Planck_850_flag,Planck_1380,Planck_1380_err,Planck_1380_flag,Planck_2100,Planck_2100_err,Planck_2100_flag,Planck_3000,Planck_3000_err,Planck_3000_flag,Planck_4260,Planck_4260_err,Planck_4260_flag,Planck_6810,Planck_6810_err,Planck_6810_flag,Planck_10600,Planck_10600_err,Planck_10600_flag
NGC3381,1.439061,0.319499090705,,0.41030517,0.16289534,,,,,,,,,,,,,,,,,,,,,,
NGC3395,,,,0.9211721,0.3315088,C,0.28897426,0.11717347,C,,,,,,,,,,,,,,,,,,
NGC3396,2.9811563,0.699192886596,C,,,,,,,,,,,,,,,,,,,,,,,,
NGC3403,4.343318,1.93179033613,,1.3823155,0.4927593,,,,,,,,,,,,,,,,,,,,,,
NGC3413,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3414,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3424,4.4721165,0.718142114901,c,1.4884053,0.33044815,c,0.39119163,0.1434903,c,,,,,,,,,,,,,,,,,,
NGC3430,4.393193,0.807636001159,c,1.3732663,0.34817675,c,0.4144585,0.12666577,c,,,,,,,,,,,,,,,,,,
NGC3437,3.956427,0.365009758401,,1.1011978,0.1734506,,0.26174188,0.10955583,,,,,,,,,,,,,,,,,,,
NGC3440,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3445,0.47826636,0.147259098166,c,,,,,,,,,,,,,,,,,,,,,,,,
NGC3448,2.6497858,0.258599997109,,0.9596166,0.102808975,,0.25157565,0.06918506,,,,,,,,,,,,,,,,,,,
NGC3454,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3455,2.5666938,0.471986017037,C,0.89840406,0.22778371,C,,,,,,,,,,,,,,,,,,,,,
NGC3458,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3485,1.7077923,0.264673227477,,0.4858413,0.12607078,,,,,,,,,,,,,,,,,,,,,,
NGC3488,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3501,2.515973,0.428327132627,,0.95584226,0.22355826,,,,,,,,,,,,,,,,,,,,,,
NGC3504,5.2151513,0.489724613993,,1.4906504,0.15278617,,0.45805746,0.1072346,,,,,,,,,,,,,,,,,,,
NGC3512,0.9346416,0.296830079398,,0.3901903,0.2087186,,,,,,,,,,,,,,,,,,,,,,
