name,IRAS_12,IRAS_12_err,IRAS_25,IRAS_25_err,IRAS_60,IRAS_60_err,IRAS_100,IRAS_100_err
NGC3187,0.08,0.04031128903721461,0.09,0.044777227678958025,0.72,0.15882380763470533,2.78,0.8335328329281009
NGC3190,0.29,0.06203224807435974,0.36,0.08236504319468145,3.06,0.613579649248124,10.15,2.0553792078958444
NGC3193,-0.0,0.027000000700354576,0.08,0.05059644284542373,,,1.56,0.34705617898700825
NGC3198,0.24,0.05126402119526132,0.62,0.1264950602005378,3.86,0.7725826606683314,14.0,2.8016796748656048
NGC3226,0.5,0.10198039018418496,1.57,0.3173515504865349,6.91,1.3823939075522624,15.24,3.0501310989793304
NGC3227,0.64,0.13041855422525042,1.81,0.3651684429883448,7.26,1.4524462581531177,16.64,3.3316541219796867
NGC3245A,,,,,0.05,0.02785677710854589,0.26,0.09541488099627571
NGC3252,0.12,0.0288444101789149,0.11,0.0325576412654291,0.85,0.1799472191045098,1.56,0.8308092220755126
NGC3254,,,,,0.26,0.06560487581049272,2.23,0.46083836931002875
NGC3256,3.31,0.6623654465948366,16.12,3.224169052990804,90.27,18.054244037260705,113.2,22.646679058449045
